Date,Ticker,Open,High,Low,Close,Volume,50_Day_SMA,200_Day_SMA,Daily_Return_%
14-03-2022,AAPL,148.39,151,147.07,147.58,108732100,164.59,150.3,-2.66
15-03-2022,AAPL,147.85,152.43,147.34,151.95,92964300,164.15,150.45,2.97
16-03-2022,AAPL,153.88,156.77,151.34,156.36,102300200,163.71,150.63,2.9
17-03-2022,AAPL,155.4,157.75,154.44,157.37,75615400,163.35,150.8,0.65
18-03-2022,AAPL,157.27,161.15,156.53,160.67,123511700,163.14,151,2.09
21-03-2022,AAPL,160.2,162.99,159.71,162.04,95811400,163.01,151.2,0.85
22-03-2022,AAPL,162.16,166,161.58,165.41,81532000,162.95,151.41,2.08
23-03-2022,AAPL,164.59,169.15,164.26,166.77,98062700,162.91,151.63,0.82
24-03-2022,AAPL,167.6,170.62,166.77,170.55,90131400,162.9,151.86,2.27
25-03-2022,AAPL,170.36,171.74,169.26,171.19,80546200,162.89,152.1,0.37
28-03-2022,AAPL,168.69,172.18,168.52,172.05,90371900,162.96,152.34,0.5
29-03-2022,AAPL,173.12,175.39,172.78,175.34,100589400,163.08,152.58,1.91
30-03-2022,AAPL,174.94,175.98,173.13,174.18,92633200,163.24,152.82,-0.66
31-03-2022,AAPL,174.24,174.43,170.87,171.08,103049300,163.41,153.04,-1.78
01-04-2022,AAPL,170.51,171.34,168.46,170.79,78751300,163.6,153.25,-0.17
04-04-2022,AAPL,171.04,174.88,170.91,174.83,76468400,163.92,153.49,2.37
05-04-2022,AAPL,173.91,174.7,170.89,171.52,73401800,164.19,153.7,-1.89
06-04-2022,AAPL,168.88,170.12,166.69,168.36,89058800,164.43,153.89,-1.85
07-04-2022,AAPL,167.7,169.86,166.42,168.66,77594700,164.68,154.08,0.18
08-04-2022,AAPL,168.31,168.31,165.78,166.65,76575500,164.89,154.26,-1.19
11-04-2022,AAPL,165.3,165.61,162.15,162.4,72246700,164.81,154.43,-2.55
12-04-2022,AAPL,164.62,166.44,163.27,164.27,79265200,164.67,154.59,1.15
13-04-2022,AAPL,164.01,167.58,163.4,166.96,70618900,164.59,154.76,1.63
14-04-2022,AAPL,167.17,167.81,161.7,161.95,75329400,164.39,154.9,-3
18-04-2022,AAPL,160.61,163.23,160.26,161.73,69023900,164.24,155.04,-0.13
19-04-2022,AAPL,161.68,164.43,160.6,164.02,67723800,164.15,155.18,1.41
20-04-2022,AAPL,165.35,165.47,162.74,163.85,67929800,164.06,155.3,-0.1
21-04-2022,AAPL,165.5,168.06,162.56,163.06,87227800,163.89,155.41,-0.48
22-04-2022,AAPL,163.09,164.48,158.24,158.52,84882400,163.61,155.51,-2.78
25-04-2022,AAPL,157.86,159.87,155.26,159.59,96046400,163.43,155.6,0.67
26-04-2022,AAPL,158.97,159.06,153.55,153.63,95623200,163.2,155.66,-3.73
27-04-2022,AAPL,152.76,156.56,152.24,153.4,88063200,162.96,155.72,-0.15
28-04-2022,AAPL,156.03,161.19,155.72,160.33,130216800,162.78,155.79,4.52
29-04-2022,AAPL,158.57,162.84,154.07,154.46,131747600,162.48,155.84,-3.66
02-05-2022,AAPL,153.54,155.03,150.17,154.77,123055300,162.27,155.9,0.2
03-05-2022,AAPL,154.95,157.46,153.16,156.26,88966500,162.12,155.99,0.96
04-05-2022,AAPL,156.44,163.11,156.04,162.66,108256500,162.15,156.09,4.1
05-05-2022,AAPL,160.54,160.76,151.82,153.6,130525300,162.09,156.14,-5.57
06-05-2022,AAPL,153.08,156.45,151.29,154.33,116124600,161.98,156.2,0.47
09-05-2022,AAPL,152.02,152.9,148.65,149.2,131577900,161.74,156.22,-3.32
10-05-2022,AAPL,152.6,153.8,150.06,151.61,115366700,161.53,156.25,1.61
11-05-2022,AAPL,150.62,152.53,143.07,143.75,142689800,161.21,156.26,-5.18
12-05-2022,AAPL,140.09,143.45,136.19,139.88,182602000,160.74,156.25,-2.69
13-05-2022,AAPL,141.88,145.32,140.42,144.35,113990900,160.37,156.26,3.19
16-05-2022,AAPL,142.82,144.75,141.47,142.81,86643800,160.03,156.26,-1.07
17-05-2022,AAPL,146.07,146.96,143.93,146.44,78336300,159.84,156.28,2.54
18-05-2022,AAPL,144.09,144.59,137.27,138.18,109742900,159.52,156.26,-5.64
19-05-2022,AAPL,137.25,139,134.04,134.77,136095600,159.02,156.21,-2.46
20-05-2022,AAPL,136.48,138.06,130.12,135.01,137426100,158.61,156.17,0.17
23-05-2022,AAPL,135.2,140.57,135.07,140.42,117726300,158.39,156.16,4.01
24-05-2022,AAPL,138.17,139.3,134.75,137.72,104132700,158.19,156.13,-1.92
25-05-2022,AAPL,135.83,139.13,135.74,137.88,92482700,157.91,156.11,0.11
26-05-2022,AAPL,134.81,141.63,134.57,141.08,90601500,157.61,156.1,2.32
27-05-2022,AAPL,142.66,146.87,142.53,146.83,90978500,157.4,156.11,4.08
31-05-2022,AAPL,146.27,147.83,144.08,146.05,103718400,157.1,156.11,-0.53
01-06-2022,AAPL,147.09,148.89,144.91,145.92,74286600,156.78,156.1,-0.09
02-06-2022,AAPL,145.05,148.43,144.1,148.37,72348100,156.44,156.11,1.68
03-06-2022,AAPL,144.14,145.19,141.75,142.65,88570300,155.96,156.11,-3.86
06-06-2022,AAPL,144.27,145.78,142.18,143.4,71598400,155.41,156.11,0.52
07-06-2022,AAPL,141.64,146.2,141.39,145.92,67808200,154.91,156.12,1.76
08-06-2022,AAPL,145.79,147.06,144.69,145.18,53950200,154.37,156.11,-0.5
09-06-2022,AAPL,144.32,145.17,139.85,139.96,69473000,153.66,156.08,-3.6
10-06-2022,AAPL,137.65,138.12,134.49,134.56,91437900,152.87,156.03,-3.86
13-06-2022,AAPL,130.38,132.66,128.97,129.4,122207100,152.04,155.95,-3.83
14-06-2022,AAPL,130.63,131.38,129.01,130.27,84784300,151.23,155.88,0.67
15-06-2022,AAPL,131.77,134.76,129.68,132.89,91533000,150.39,155.8,2.01
16-06-2022,AAPL,129.6,129.9,126.62,127.62,108123900,149.51,155.69,-3.97
17-06-2022,AAPL,127.63,130.58,127.37,129.09,134520300,148.73,155.59,1.15
21-06-2022,AAPL,130.91,134.49,130.82,133.32,81000500,148.02,155.51,3.28
22-06-2022,AAPL,132.26,135.17,131.4,132.81,73409200,147.34,155.42,-0.38
23-06-2022,AAPL,134.25,135.99,133.08,135.67,72433800,146.81,155.33,2.16
24-06-2022,AAPL,137.27,139.25,137.15,139,89116800,146.3,155.27,2.45
27-06-2022,AAPL,140.02,140.8,138.32,139,70207900,145.74,155.21,0
28-06-2022,AAPL,139.46,140.73,134.74,134.86,67083400,145.2,155.16,-2.98
29-06-2022,AAPL,134.88,138.03,134.1,136.62,66242400,144.7,155.11,1.3
30-06-2022,AAPL,134.67,135.77,131.26,134.15,98964500,144.1,155.06,-1.8
01-07-2022,AAPL,133.49,136.43,133.11,136.32,71051600,143.55,155.01,1.62
05-07-2022,AAPL,135.18,138.95,134.36,138.9,73353800,143.07,154.98,1.89
06-07-2022,AAPL,138.7,141.41,138.43,140.24,74064300,142.7,154.97,0.96
